yearID,teamID,G,W,WAR,Salary,Adj_Factor,Adjusted_Salary,Attendance
2004,SFG,162,91,19.5,"$72,569,166 ",1.33,"$96,516,991 ","3,258,864"
2004,STL,162,105,31.4,"$83,840,333 ",1.33,"$111,507,643 ","3,048,427"
2004,TBD,161,70,16.2,"$29,554,167 ",1.33,"$39,307,042 ","1,275,011"
2004,TEX,162,89,15.4,"$43,183,750 ",1.33,"$57,434,388 ","2,513,685"
2004,TOR,161,67,16.6,"$50,017,000 ",1.33,"$66,522,610 ","1,900,041"
2005,ARI,162,77,15.1,"$62,011,166 ",1.28,"$79,374,292 ","2,059,331"
2005,ATL,162,90,27.8,"$86,457,302 ",1.28,"$110,665,347 ","2,521,534"
2005,BAL,162,74,23.9,"$73,275,833 ",1.28,"$93,793,066 ","2,624,804"
2005,BOS,162,95,30.6,"$123,505,125 ",1.28,"$158,086,560 ","2,813,354"
2005,CHC,162,99,17.8,"$87,032,933 ",1.28,"$111,402,154 ","3,100,262"
2005,CHW,162,79,20,"$74,860,000 ",1.28,"$95,820,800 ","2,342,834"
2005,CIN,163,73,21.6,"$61,552,583 ",1.28,"$78,787,306 ","1,943,157"
2005,CLE,162,93,36.2,"$41,186,000 ",1.28,"$52,718,080 ","1,973,185"
2005,COL,162,67,11.2,"$47,839,000 ",1.28,"$61,233,920 ","1,915,586"
2005,DET,162,71,23.7,"$65,752,500 ",1.28,"$84,163,200 ","2,024,505"
2005,FLA,162,83,14.9,"$60,058,834 ",1.28,"$76,875,308 ","1,823,388"
2005,HOU,163,89,18,"$76,779,000 ",1.28,"$98,277,120 ","2,762,472"
2005,KCR,162,56,2.6,"$33,921,000 ",1.28,"$43,418,880 ","1,371,181"
2005,LAA,162,95,23.5,"$84,400,322 ",1.28,"$108,032,412 ","3,404,686"
2005,LAD,162,71,12.8,"$69,639,000 ",1.28,"$89,137,920 ","3,603,680"
2005,MIL,162,81,16.4,"$39,934,833 ",1.28,"$51,116,586 ","2,211,023"
2005,MIN,162,83,13.2,"$55,540,000 ",1.28,"$71,091,200 ","2,013,453"
2005,MON,162,81,10.4,"$47,937,000 ",1.28,"$61,359,360 ","2,692,123"
2005,NYM,162,83,17.8,"$100,669,321 ",1.28,"$128,856,731 ","2,782,212"
2005,NYY,162,95,26.2,"$208,306,817 ",1.28,"$266,632,726 ","4,090,440"
2005,OAK,162,88,24.4,"$54,025,762 ",1.28,"$69,152,975 ","2,109,298"
2005,PHI,162,88,29.9,"$95,522,000 ",1.28,"$122,268,160 ","2,665,301"
2005,PIT,162,67,15.9,"$37,496,000 ",1.28,"$47,994,880 ","1,794,237"
2005,SDP,162,82,16.3,"$62,623,833 ",1.28,"$80,158,506 ","2,832,039"
2005,SEA,162,69,15.3,"$86,213,334 ",1.28,"$110,353,068 ","2,689,529"
2005,SFG,162,75,6.2,"$90,199,500 ",1.28,"$115,455,360 ","3,140,781"
2005,STL,162,100,29.5,"$91,346,833 ",1.28,"$116,923,946 ","3,491,837"
2005,TBD,162,67,22.1,"$28,666,567 ",1.28,"$36,693,206 ","1,124,189"
2005,TEX,162,79,22,"$54,877,500 ",1.28,"$70,243,200 ","2,486,925"
2005,TOR,162,80,23.7,"$45,719,500 ",1.28,"$58,520,960 ","1,977,949"
2006,ARI,162,76,13.2,"$59,984,226 ",1.24,"$74,380,440 ","2,091,505"
2006,ATL,162,79,21.7,"$74,967,333 ",1.24,"$92,959,493 ","2,549,522"
2006,BAL,162,70,20.5,"$71,646,082 ",1.24,"$88,841,142 ","2,153,250"
2006,BOS,162,86,18.4,"$119,374,824 ",1.24,"$148,024,782 ","2,930,768"
2006,CHC,162,90,10.2,"$90,391,166 ",1.24,"$112,085,046 ","3,123,215"
2006,CHW,162,66,20.3,"$102,750,667 ",1.24,"$127,410,827 ","2,957,414"
2006,CIN,162,80,11.1,"$56,819,519 ",1.24,"$70,456,204 ","2,134,472"
2006,CLE,162,78,26,"$56,031,500 ",1.24,"$69,479,060 ","1,998,070"
2006,COL,162,76,15.8,"$40,232,000 ",1.24,"$49,887,680 ","2,105,995"
2006,DET,162,95,25.8,"$76,282,866 ",1.24,"$94,590,754 ","2,595,937"
2006,FLA,162,78,17.9,"$14,671,500 ",1.24,"$18,192,660 ","1,165,120"
2006,HOU,162,82,17.1,"$81,525,416 ",1.24,"$101,091,516 ","3,022,763"
2006,KCR,162,62,17.9,"$46,959,000 ",1.24,"$58,229,160 ","1,372,684"
2006,LAA,162,89,18.4,"$103,472,000 ",1.24,"$128,305,280 ","3,406,790"
2006,LAD,162,88,19.8,"$98,092,187 ",1.24,"$121,634,312 ","3,758,421"
2006,MIL,162,75,14.5,"$57,568,333 ",1.24,"$71,384,733 ","2,335,643"
2006,MIN,162,96,23.9,"$63,069,006 ",1.24,"$78,205,567 ","2,285,018"
2006,MON,162,71,16.8,"$54,168,000 ",1.24,"$67,168,320 ","2,153,150"
2006,NYM,162,97,26.3,"$101,251,963 ",1.24,"$125,552,434 ","3,379,551"
2006,NYY,162,97,28.5,"$186,663,079 ",1.24,"$231,462,218 ","4,200,518"
2006,OAK,162,93,19.8,"$64,843,079 ",1.24,"$80,405,418 ","1,976,625"
2006,PHI,162,85,21.3,"$87,923,333 ",1.24,"$109,024,933 ","2,701,815"
2006,PIT,162,67,6.9,"$46,063,750 ",1.24,"$57,119,050 ","1,861,549"
2006,SDP,162,88,27.8,"$69,896,141 ",1.24,"$86,671,215 ","2,659,732"
2006,SEA,162,78,23.8,"$87,959,833 ",1.24,"$109,070,193 ","2,480,717"
2006,SFG,161,76,15.8,"$90,056,419 ",1.24,"$111,669,960 ","3,130,304"
2006,STL,161,83,24.2,"$87,356,371 ",1.24,"$108,321,900 ","3,407,104"
2006,TBD,162,61,9.1,"$34,917,967 ",1.24,"$43,298,279 ","1,369,031"
2006,TEX,162,80,22.7,"$67,897,662 ",1.24,"$84,193,101 ","2,388,757"
2006,TOR,162,87,32.9,"$71,365,000 ",1.24,"$88,492,600 ","2,302,182"
2007,ARI,162,90,10.5,"$52,067,546 ",1.21,"$63,001,731 ","2,316,507"
2007,ATL,162,84,28.3,"$71,655,833 ",1.21,"$86,703,558 ","2,745,203"
2007,BAL,162,69,17.6,"$85,650,252 ",1.21,"$103,636,805 ","2,164,822"
2007,BOS,162,96,29,"$133,526,214 ",1.21,"$161,566,719 ","2,970,755"
2007,CHC,162,72,17.3,"$99,287,332 ",1.21,"$120,137,672 ","3,252,462"
